DSO,Rank,Month
100064208170001140,2,
100006810170000824,13,202609
100006999170000520,1,202603
100006385170002694,1,
100063734170002024,2,202605
100006810170000809,7,
100063734170002022,3,
100068125170000247,1,202609
100006280170001933,7,
100006730170001115,1,
100006159170000934,1,202602
100006280170001942,3,202607
100059895170001529,2,
100061115170002245,8,202606
100061489170004105,1,
100061819170000622,3000,202606
100063653170001423,3,
100063843170000865,1,202606
100063904170001271,2,
100064106170002768,1,
100064207170000937,2,
100064219170001433,6,
100067996170000731,3,
100069827170000914,1,202605
100084086170001168,4,
100007008170000121,6000,
100007008170000177,14000,202510
100007008170000161,30,
100007008170000169,19,
100064106170002763,3,
100007008170000153,3,
100007008170000129,6,
100007008170000137,6,
100007008170000145,14,
100006125170002698,4,
100006280170001919,6,202607
100007007170000173,10,
100059279170000412,1,
100060512170002805,3,
100061489170004101,5,
100063755170000973,1,
100063976170004753,4,202511
100064125170001529,3,
100064158170000396,1,
100067969170001044,1,202607
100069969170000752,2,
100059895170001520,7000,202511
100006470170001512,2,202605
100006125170002663,10,
100006125170002671,19,202607
100006125170002679,27,202605
100006125170002687,5,
100060049170001322,1,
100060639170002733,3,
100063707170001697,3,
100063755170000968,2,
100064125170001524,1,
100064230170001644,1,
100069957170000628,1,
100007008170000002,11,
100007008170000058,8000,202601
100007008170000074,6000,202509
100007008170000090,1000,202511
100007008170000050,8,
100007008170000042,16,
100059279170000402,3,
100059896170000892,2,
100059897170001823,4,
100063750170000676,1,202607
100063972170000742,2,
100063982170001742,1,
100007008170000010,9,
100007008170000018,2,
100007008170000034,25,
100064241170000725,3000,202602
100007008170000026,3,
100007008170000066,9000,202508
100060643170001233,1,
100061972170001701,3,
100006435170001047,1,
100007002170000429,2,202609
100059887170000090,3,
100060512170002791,3000,202511
100063707170001690,1,
100063815170001188,5,
100064012170001313,3,
100067996170000722,4,
100068005170001594,1,
100006385170002686,4,202606
100060512170002799,1000,202512
100061489170004086,5,
100061489170004094,2,
100063653170001411,2,
100063884170001554,2,
100064106170002755,4,
100064108170000845,1,
100064113170000462,4,
100064113170000470,4,
100067969170001042,2,202606
100068005170001602,2,202607
100060739170001143,3,
100061961170001057,3,
100063686170002649,6,
100064106170002722,18,
100064106170002730,24,
100064204170000567,1,
100064232170000628,5,
100068001170000874,1,
100059895170001513,4,
100061489170004070,5,
100061489170004078,19,
100061972170001709,3,
100064100170001002,3,202609
100064106170002738,17,
100064106170002747,12,
100064125170001523,4,202609
100068126170000112,1,
100069977170001411,1,202601
100006493170000813,1,202606
100059895170001505,11,202607
100060639170002721,3,202609
100060934170000814,3,
100061489170004053,21,
100062954170000891,1,
100064164170000553,1,202605
100067962170001144,6,202605
100068125170000237,3,202607
100084086170001160,2,
100006120170001121,4,
100061961170001053,1,202607
100063755170000956,3,202605
100068126170000108,3,
100059953170000145,7000,
100006120170001129,7,
100059895170001497,16,202606
100061489170004046,24,
100064117170001714,5,202607
100064222170000235,1,
100068001170000864,10,
100068125170000235,4,202606
100070657170000748,1,202607
100064241170000711,1000,
100059895170001492,8,
100061949170001066,2,202606
100063734170002017,6,
100068001170000859,13,
100059953170000075,12,
100059953170000047,4000,
100059953170000109,10,
100059953170000093,21,
100059953170000067,6000,
100059953170000117,5,
100059953170000003,2,
100059953170000059,3000,
100059895170001487,41,202607
100059953170000128,4,
100059953170000012,6000,
100059953170000021,4000,
100059953170000101,15,
100006500170001188,1,
100061115170002241,1,
100063976170004703,7,202511
100063976170004711,14,202510
100063976170004719,24,
100063976170004727,22,
100063976170004735,14,
100063976170004743,1,
100064011170000788,3,
100069977170001408,1,
100059953170000136,8,
100059953170000085,3,
100059895170001486,19,202605
100060639170002716,8,202609
100063685170001818,9,
100064127170002014,5,
100064232170000624,1000,
100069964170000977,1,202606
100063653170001397,3,
100006370170000621,4,
100060934170000810,4,202609
100006493170000810,1000,
100063685170001814,12,
100063884170001550,8,
100064220170000415,3,
100067996170000716,6,
100059887170000081,8,
100061819170000615,1,
100063884170001538,21,
100063884170001546,20,
100067969170001036,5,202606
100006480170001653,2,
100052806170000668,4,
100060579170000897,1,
100063707170001682,7,
100063884170001535,1,
100067976170000390,1,
100006480170001645,9,
100006159170000926,1000,
100059897170001813,1,
100061961170001049,2,
100063742170000532,1,
100064011170000785,6,
100006435170001046,2000,202601
100059896170000870,19,202607
100060512170002772,2,
100063653170001393,1,
100084086170001155,9,
100060049170001308,3000,202511
100061220170001599,4,
100064125170001508,8,202607
100069977170001406,1,202606
100006870170000954,2000,
100059896170000865,4,
100063707170001680,9,
100007007170000157,1000,
100007007170000050,12,
100007007170000074,3,
100007007170000082,3,
100007007170000058,5,
100007007170000090,18,
100007007170000114,1000,202509
100007007170000066,8,
100007007170000098,11,
100006385170002683,1000,202510
100059897170001812,1,
100063884170001531,2,
100059897170001811,2,
100062123170000491,1,202609
100067978170000293,7,
100063742170000525,6,202605
100067974170000210,1,
100059896170000863,1,
100064106170002717,1,
100064125170001500,10,202607
100069977170001403,2,
100070657170000746,1000,202606
100060512170002764,9000,202601
100063653170001387,12,
100063793170000974,6,202605
100064164170000546,4,202606
100064203170000340,2,202605
100064208170001133,2,
100060648170000848,4,202609
100061961170001045,1000,
100063982170001736,4,
100063707170001676,11,
100063733170001138,4,202607
100063733170001146,2,
100064011170000777,2,
100006391170000388,1,
100059897170001806,4,
100064106170002714,11,
100068004170000155,1,
100007002170000420,1000,202606
100052806170000663,4,
100059895170001461,16,
100059897170001805,1000,202605
100060632170000950,7,202606
100061220170001591,12,
100061961170001044,2000,
100061972170001693,9,
100063733170001137,5,202607
100063976170004688,4,
100063976170004696,12,
100064012170001305,4,
100064106170002707,12,
100064125170001495,13,202606
100064217170001118,7,202607
100064222170000232,2,
100068004170000152,2,
100084086170001152,1,
100007007170000021,1000,202510
100006999170000512,2,
100060512170002758,6,
100060632170000945,4,
100061949170001059,7,202602
100063733170001135,6,
100063884170001517,11,202606
100063884170001525,3,
100064011170000773,4,
100064113170000448,13,202605
100064117170001710,9,202606
100064125170001489,18,202605
100064212170001006,4,202607
100064219170001420,13,
100064220170000409,5,
100067969170001023,7,202609
100068004170000145,6,
100059277170000111,6,202609
100059896170000859,1000,202604
100060610170001469,1000,202602
100061115170002228,9,
100061961170001043,3000,
100063884170001500,14,
100063972170000721,4,
100064127170001999,15,202609
100064152170000664,2000,202509
100064220170000402,4,
100067969170001021,9,202609
100067997170000545,1,
100068001170000851,18,
100068131170000004,1,
100006155170001392,4,
100060934170000804,6,202607
100063653170001366,21,202605
100063685170001807,1,
100063799170000636,1,
100064117170001709,10,202606
100064209170000470,2,202606
100064219170001411,3,
100067969170001013,11,202607
100068005170001586,7,
100059897170001791,10,
100063733170001128,9,202605
100063972170000718,10,202606
100064217170001107,4,
100067962170001131,5,
100067996170000710,11,
100063653170001360,7,
100060934170000799,10,202603
100064244170000356,1,
100059895170001452,4,
100060632170000944,5,
100061489170004022,39,
100061819170000607,2,
100063686170002631,9,
100063982170001726,7,
100064108170000831,9,
100064206170000939,3,
100064207170000922,9,202606
100069978170000338,3,
100060512170002747,9,
100062954170000886,1,
100063795170000990,1,
100064106170002687,10,
100064164170000539,8,202602
100064240170000388,1,
100064241170000702,2,
100067974170000208,1,
100067978170000283,3,
100069977170001400,3,202606
100006370170000617,2,202605
100059895170001450,20,
100060512170002746,5,
100063748170001446,1000,202601
100064106170002683,27,
100064241170000693,12,
100064244170000353,4,
100068126170000088,2,
100006260170002020,2,202609
100006740170001476,1000,202511
100060512170002745,3000,202512
100060643170001226,1000,202509
100061220170001584,2000,202605
100063686170002620,14,
100063982170001725,3,
100064125170001478,1000,202604
100064204170000554,7,202606
100007004170000138,1,
100061115170002214,6,
100063663170000843,6,
100063976170004661,21,
100063976170004669,13,
100064200170000912,6,
100068004170000140,11,
100060512170002742,10,
100061115170002210,9,
100061489170004016,47,
100063750170000663,5,202606
100067969170001002,2000,202511
100069964170000971,2,
100060512170002739,12,
100061115170002201,29,202607
100063653170001351,26,202604
100063734170001994,12,202609
100064106170002662,36,
100064106170002670,14,
100064106170002678,32,
100064117170001698,15,202605
100064219170001399,2000,202509
100064220170000400,1000,202508
100068125170000224,1,
100006317170001216,1,
100006345170000573,1,202603
100059887170000074,3,
100059898170000389,1,
100061115170002195,10,
100063663170000841,6,
100063795170000986,10,202605
100064125170001475,9,202605
100064241170000682,21,202609
100069978170000333,4,
100060512170002737,16,
100061115170002191,39,202605
100061961170001036,1,202511
100063880170000979,1,202601
100067996170000703,13,202607
100068125170000220,1,
100059895170001442,26,202608
100064244170000349,9,
100006740170001469,3,
100006159170000910,4,
100060632170000937,12,202605
100061489170004005,57,
100063685170001803,3,
100063686170002611,12,
100063815170001179,3,
100063976170004614,37,
100063976170004630,42,
100063976170004638,66,
100063976170004646,61,
100063976170004654,53,
100064106170002658,1000,
100068018170000573,1000,
100069967170001351,3,202605
100060697170000912,6,202605
100063686170002598,20,
100063976170004593,86,
100063976170004601,79,
100063982170001719,10,202609
100064011170000768,5,
100067962170001128,1000,202512
100006740170001466,2,202605
100006870170000933,1,
100006345170000571,6,202605
100059887170000070,1,
100063663170000838,8,
100063734170001985,18,202606
100063972170000713,3,
100064117170001696,4,
100059887170000066,1000,202605
100059896170000841,5,
100060512170002726,13,
100061489170003993,15,
100006730170001110,1000,202512
100061489170003968,73,
100061489170003976,75,
100061489170003984,60,
100063685170001795,7,
100063799170000627,8,202607
100064108170000813,5,
100064208170001123,1000,202606
100068005170001571,17,202609
100069977170001396,4,
100063653170001348,10,
100006730170001108,7000,202511
100059897170001778,13,
100064219170001383,12,
100064219170001391,10,
100068016170000177,2,
100069969170000736,4,
100069969170000745,2,
100006470170001501,5,
100059895170001427,32,202606
100060512170002717,21,202606
100060643170001225,4,202609
100061115170002185,12,
100063685170001788,10,
100063686170002586,12,
100063976170004592,6000,202509
100064127170001992,18,202607
100064208170001118,4,
100064230170001631,6,
100068001170000836,10,
100068001170000845,23,202607
100068009170000311,1,
100069969170000723,10,
100069977170001387,8,
100051369170000923,1,
100060512170002714,24,202606
100061949170001056,1000,202512
100063653170001338,11,
100063653170001346,10,
100063685170001779,19,
100063686170002581,22,
100064106170002649,19,
100064245170000363,3,
100068009170000301,1,
